state_id,game_index,fold,phase_name,power,counterpart,focal_location,option_a,option_b,conversation_volume,pair_score,parent_game_sha256,post_state_sha256_a,post_state_sha256_b
cicero_g010_p031_FRANCE,10,0,S1908M,FRANCE,ITALY,ENG,F ENG - BRE,F ENG S A EDI - BEL,18,180,a2dcaaf02be03cc7f668e501e91774c1f561370f970dfa0125a697eebc3783e3,a822d7f1a685050f8ecc4d058e8b8e3d2799a17cf02061b61b6a4559696c251b,3aa6bffa0988c7878ad664511c6e3e4799bda252587dd22ad7afac1d35b707ae
cicero_g011_p001_RUSSIA,11,1,F1901M,RUSSIA,TURKEY,SEV,F SEV - ARM,F SEV S F ANK - BLA,31,200,7bafb7835d90100db1e87d25a7c1d5976b6dcef4742d62eb99939188dabd25ee,2a23878030d8a789ac1a2d657fd87f0406c9c369df7095b98912d40a92786bd9,3cf932fd1508f7f7acf85ad0c70496bd0b6fb5fd8dcec251e694b63649f3fff0
cicero_g012_p005_RUSSIA,12,2,F1902M,RUSSIA,GERMANY,SWE,F SWE - BAL,F SWE S A LON - DEN,37,380,3489986c92b708a9727e7b192118c706e6c5511a1595bd92fbe71167cfb85f1d,90b19dfbc3da4f7da45d5cd97d613e4e830ea5483ed0909a551f303dbf5ece43,84cfade52a555fbb920d56acf8ad1cc69d889e5e6feeba02d395a4e7631ea088
cicero_g013_p000_RUSSIA,13,3,S1901M,RUSSIA,ITALY,STP,F STP/SC - FIN,F STP/SC S A WAR - LVN,35,140,d3b2d13ff0742f7e38f18619a75dcb961cb1501854490a8d62fcf3bcff876cc8,02c3c680fb490bc833e87476a04bf14bd95db4e05187cdb6bf3e2b3fca01c2b2,be9aa67f265213c15148d69c3a3c675e140ae87d4f6ae374ffb422b2e0a2e230
cicero_g014_p000_RUSSIA,14,4,S1901M,RUSSIA,ITALY,STP,F STP/SC - FIN,F STP/SC S A MOS - LVN,26,140,a9523c6c7eef884fc322ef39a050a48c478529a90d529c76d0d22464bf9ab4b9,549f4f7c8ed956ea8e8612b97ef67993b2e8846fc9a6783b62a9decd4fc25353,1196729f4da77063a8f9f7897b4dbf7eadbd7f34a538877dfed6eb5686ff4af7
cicero_g015_p001_ENGLAND,15,0,F1901M,ENGLAND,GERMANY,NTH,F NTH - EDI,F NTH S F PIC - BEL,10,180,5af21173c846173bbc082757a596fb2dbd4a788f75808f98776bec4a97de6235,bc053b621ee8bcaf441e25c46cf423c58dbea69c0aa7c685d93296773839c884,8074cc49ff3a39272f577af38d37f8636d0e6e1bcbdfeb74a7427b6d90caf764
cicero_g016_p004_ITALY,16,1,F1902M,ITALY,RUSSIA,VEN,A VEN - APU,A VEN S A SER - TRI,21,180,c35ac8f43b6ae482ccd6ec116383123d9e53bc904797f90d1d873f34995631f6,8fd6a032630497cc4f4c2afab743fc33764e5a70f0a9a356c226e56b989aaaa8,6968ed1b883a0c4beed7349c9408205473bee902f52b77a26308b7c4e3079168
cicero_g017_p001_FRANCE,17,2,F1901M,FRANCE,GERMANY,PIC,A PIC S A MAR - BUR,A PIC - BRE,42,240,304650ff7c71d3b165f115488e45b7e580b625e90413e8781fe05e11fedd990a,fbcfbb364a22c393606bc04248155756efac996c5004d2f30c9e1520e2a72b88,a350bcc6543329bf0c0e04838559865d5aa3ea18b066afb3c76714fd34466f36
cicero_g018_p001_ENGLAND,18,3,F1901M,ENGLAND,TURKEY,EDI,A EDI - CLY,A EDI S F NTH - YOR,2,120,dc94714ab76745d0040a8c04cbd9875f7671b5d2ea26349df94d73ad4e8c97a0,e2479e2c3d98ef7dd605e457b287c4eba9267d2f1eb0547a3fc2c000c6f17285,3a13b35be07276bd758c01456d774e798373af3b25c2c3cd2339d0f760453eb1
cicero_g019_p007_RUSSIA,19,4,S1903M,RUSSIA,ITALY,STP,F STP/SC S F BOT,F STP/SC - FIN,11,120,5533595e7ebfbfd4e82df4384c9cf80bbf1a3d677bdb6dc9e039aa9b569ec1c8,860d19a9e8d8414310d3feafc83212fa88deb5fb95779abb40935c1bb8cd7d9d,2a5a76d7cfb0025adc499f81f44244ba0b45ca7facea1f0fcfef963f6a2b0a31
