target_id,game_id,game_index,fold,mission,round,leader,subject_player,subject_role,mission_team_json,known_other_evil_on_team,subject_team_vote,action_valid,action_fallback_used,hidden_action,hidden_sabotage,parent_perspective_hash,exact_action_prompt_sha256
avalon_full_002_m3_r0_p3,avalon_full_002,2,2,3,0,3,3,Minion,"[1, 3, 4]",False,False,True,False,PASS,0,60cd81b4e533220e0a3d30cea19565d93de5f9e0c91ab12772371d682c90dd5e,e6874898e30bedec8070db66a45ff205bce70a7ffe077cefd4c1478bcd8a9cee
avalon_full_003_m0_r0_p4,avalon_full_003,3,3,0,0,4,4,Assassin,"[1, 4]",False,False,True,False,SABOTAGE,1,f21c851f5d5a63b1fa55c76b253fe226a1ec3e806cd306b332ffa07d415e0941,650e7e56826ffa1c340cd26ed603f561ced87bb7b6da86d6e4a676db88b4a343
avalon_full_003_m1_r0_p4,avalon_full_003,3,3,1,0,4,4,Assassin,"[0, 2, 4]",False,True,True,False,PASS,0,d6c01de0cc8b0556adf9db8d098591191100876719d3eef2fd3f29cc88fa36e8,7635008281d7e5eb731302670c5e640b5d14ddfd3cc4f41557d2b226c528ce56
avalon_full_003_m3_r0_p3,avalon_full_003,3,3,3,0,1,3,Minion,"[1, 3, 4]",True,False,True,False,SABOTAGE,1,c40b470535e380de79b4724e3e04cff26b5d86fa613c5ea5b5271216c38d997d,14ca007fc8ed8be81ca3362c90861e4fec6e09747bec99cde1b06ef8e8201eca
avalon_full_003_m3_r0_p4,avalon_full_003,3,3,3,0,1,4,Assassin,"[1, 3, 4]",True,False,True,False,SABOTAGE,1,c2e17c7cee4465a97aca390d1845a65a548bbe80328b87f4269d7c64bca8f57c,a36ca4ff9711e150bec9af3d75d78f71f0665210a04afb0af111a76bb1d03816
avalon_full_003_m4_r0_p3,avalon_full_003,3,3,4,0,1,3,Minion,"[1, 3, 4]",True,False,True,False,PASS,0,f9177d6057c82754f4614641ab6594bb4dc10b4d2b1f6a7f62af92d405d6bf2a,6e557f1c51614f97a474e7277b16af5e5fe537cfe6aa1d562d90cd8967c87575
avalon_full_003_m4_r0_p4,avalon_full_003,3,3,4,0,1,4,Assassin,"[1, 3, 4]",True,False,True,False,PASS,0,2de7db2c1c00f8f0c5517c286c7f06b61af8d196d47fbc246cebf512217b14cf,3cf4b858c0c9570e339a0cc5ff7a9c405545dfeb2798004cad043527935945ea
avalon_full_004_m1_r0_p3,avalon_full_004,4,4,1,0,1,3,Assassin,"[0, 2, 3]",False,False,True,False,SABOTAGE,1,8fbeb7dac831891157335f083e69b57519a1140bf9c4e00ff07f23cd5e88013d,57e303a7425c8238f20533c4a1546db13998e1a0dcac30c8e8a4817b1d01ab04
avalon_full_004_m2_r0_p3,avalon_full_004,4,4,2,0,3,3,Assassin,"[2, 3]",False,False,True,False,SABOTAGE,1,148f858dd0a2903bdd3225d1b6d328de41fc3ab5db2763f2707334a7bd079416,a2d846db9c2ce0b36d1c6b15c52cc526496a57904e8064a0d22ba339320173f3
avalon_full_004_m3_r0_p1,avalon_full_004,4,4,3,0,4,1,Minion,"[1, 3, 4]",True,False,True,False,SABOTAGE,1,452a5d62a8b000261bbb7025237dfb7345a089ebf0c937b3ca757959fc04017a,12a70db4ff3dd32c49cb2acba4bcc585b201fe3c943a41209b988379b065ab51
avalon_full_004_m3_r0_p3,avalon_full_004,4,4,3,0,4,3,Assassin,"[1, 3, 4]",True,False,True,False,SABOTAGE,1,840812d17a662e14d95f45a0465d80950fcff468ce36521a8eae222c73ac568c,9436b79787cf78f008b5e0b25b8debf0ebe82ce05b3da9580d8f542abe9778b3
avalon_full_005_m0_r0_p0,avalon_full_005,5,0,0,0,1,0,Assassin,"[0, 2]",False,False,True,False,PASS,0,be7fd24edcd01790cf2b85e2cc867a5ec6a4605786c94eaf5cae751fdf9162f6,0eb568dafbcf775573477afb0adc2c8166df546c3f95f405cae196fc392af677
avalon_full_005_m1_r0_p1,avalon_full_005,5,0,1,0,2,1,Minion,"[1, 3, 4]",False,False,True,False,SABOTAGE,1,110aa0b17e0f6a18b0e6c5bc36f9814470e01ea3cfbf1f7576bf7a03d219f612,7f6e480823b75a40ae58c875e65139df2b7d1f906762da71c1f11a16b5112ac6
avalon_full_005_m2_r0_p0,avalon_full_005,5,0,2,0,3,0,Assassin,"[0, 2]",False,False,True,False,PASS,0,1911f606f82c876ecc8e2370d0e039860025633e677dd6ad09caccc2565e5b6b,44a96b2e133a6e89ba566d18863d549fb401a0e734870f9cf96c86d11ce34a3f
avalon_full_005_m3_r0_p1,avalon_full_005,5,0,3,0,4,1,Minion,"[1, 3, 4]",False,False,True,False,SABOTAGE,1,2f888750898b10b9f721336acc6e54af5589f27be97b3bcb4e6d06f7e8c3fc80,3f551467b8f8d1e32c5b75ab7b6c7ad2f9f9b37b633875a01fae96cecd5a3861
avalon_full_005_m4_r0_p0,avalon_full_005,5,0,4,0,0,0,Assassin,"[0, 2, 3]",False,False,True,False,PASS,0,eed8893d920f967eac700ae8be70b08e3e7228973c6488e7e3e921a8c2964ac7,4b49d2a13d3b7b1902feca47342c66206a0c134993f55c97b2649cf5435d8b20
avalon_full_006_m1_r0_p0,avalon_full_006,6,1,1,0,3,0,Minion,"[0, 2, 3]",False,False,True,False,SABOTAGE,1,7adc3c3c4586d6379cae64018b76b8047bd89dac2b51dc52e21af5c389ef0c9b,78bcd2d948774327136fa2e38c55d6ed78fbe029afaf5e4cddee7ca7d17bd596
avalon_full_006_m2_r0_p4,avalon_full_006,6,1,2,0,4,4,Assassin,"[1, 4]",False,False,True,False,SABOTAGE,1,96e5b255c909b6d61c59cf6fd251066c13dac815197477aad398ee6252408666,7143722f497e5fa967fafc7871ff2e4b132f3b4b2faeefdc45a70e86a338b4d6
avalon_full_006_m3_r0_p4,avalon_full_006,6,1,3,0,0,4,Assassin,"[1, 3, 4]",False,False,True,False,SABOTAGE,1,1a06792f8e51f4e981961ddb49927d412d6090c357b415b4674821ba378d9c5e,c28f588bd214a9cae368b711747a7430df5b3bd72473da316d88b60ff65e01a7
avalon_full_007_m0_r0_p1,avalon_full_007,7,2,0,0,3,1,Assassin,"[1, 4]",False,False,True,False,SABOTAGE,1,7b91c45d778dbbe24d008c889e73b5bcb2f9328c73d95c1bf8b13c405b44a4c9,2aa1efb1e1f53764aad4d668a5e663c019e71985c549c2669c5e79915d607ec3
avalon_full_007_m1_r0_p2,avalon_full_007,7,2,1,0,4,2,Minion,"[0, 2, 3]",False,False,True,False,SABOTAGE,1,1d561ac96ccd454308e95435e999001640154ed412d772ec8e9e1f192c902f15,8dee7f6448309a77b0ebc163314423473c7127fe086638d6bc99d6dfbb715ee0
avalon_full_007_m2_r0_p2,avalon_full_007,7,2,2,0,1,2,Minion,"[0, 2]",False,False,True,False,SABOTAGE,1,b52d8c25a937a0b755e8a29d2e48d84ce0f0dc775bb8fc3e10347b2dba0de718,a42a29412975c3781f1ec79fa084999ae00b9a6a1e30908ffdf66099b7b4a083
