state_id,game_index,qwen_choice,qwen_y_B,qwen_p_activation,qwen_p_strong_text,second_choice,second_y_B,second_p_activation,second_p_strong_text,behavior_agree
cicero_g015_p001_ENGLAND,15,A,0,0.902555089257748,0.6555765165616918,B,1,0.22251299788888984,0.3416716741000546,False
cicero_g016_p004_ITALY,16,B,1,0.097704386854728,0.6320539238182249,A,0,0.5209775167520634,0.2969740294840722,False
cicero_g017_p001_FRANCE,17,A,0,0.010439887356836,0.5803916134687689,B,1,0.5493587426078053,0.1615117697969195,False
cicero_g018_p001_ENGLAND,18,B,1,0.4187621302285207,0.6093031925416122,B,1,0.08743301685380521,0.34442167147861485,True
cicero_g019_p007_RUSSIA,19,B,1,0.0706827875654959,0.5857754547878413,A,0,0.08744361445490449,0.28707562082553484,False
cicero_g020_p001_ITALY,20,A,0,0.4971528660054397,0.6087927910751613,A,0,0.227617461416089,0.30335689498898427,True
cicero_g021_p003_FRANCE,21,B,1,0.5533547237308071,0.6832625794541669,A,0,0.6101325442607569,0.3315614541368971,False
cicero_g022_p008_ENGLAND,22,B,1,0.1234229257984834,0.5813449046501915,A,0,0.04741419367100343,0.32492266194487296,False
cicero_g023_p009_ITALY,23,B,1,0.4518011343010587,0.6101730371562615,B,1,0.32280951300558997,0.2948024191791111,True
cicero_g024_p005_FRANCE,24,B,1,0.9744171299000648,0.5876787620770142,A,0,0.43191287754253804,0.2958978201839225,False
cicero_g025_p001_ENGLAND,25,B,1,0.9778759460276124,0.6650098803134193,A,0,0.3416250670373964,0.3327975829755171,False
cicero_g026_p003_GERMANY,26,A,0,0.3640911982281926,0.6677988941507234,A,0,0.5542355807413247,0.3476798928462487,True
cicero_g027_p003_AUSTRIA,27,B,1,0.951256523491833,0.5776998192317765,B,1,0.6441758581683082,0.1417756036175785,True
cicero_g028_p003_GERMANY,28,B,1,0.6643311628491304,0.5881973465137351,A,0,0.483660660821823,0.3156822560407054,False
cicero_g029_p018_RUSSIA,29,B,1,0.164332609886268,0.5801598870738901,A,0,0.056771513317907564,0.2639423803617004,False
cicero_g030_p001_RUSSIA,30,B,1,0.4430608560533928,0.512741317313373,A,0,0.9383549234110448,0.3339051519796801,False
cicero_g031_p012_FRANCE,31,B,1,0.956847812884797,0.6996937023134454,A,0,0.1676592629649853,0.30550106490041673,False
cicero_g032_p003_AUSTRIA,32,A,0,0.9719764354831192,0.5821535203723947,A,0,0.7310321482181973,0.12708267117952282,True
cicero_g033_p009_AUSTRIA,33,A,0,0.2498158851933805,0.6029877759034046,A,0,0.4879466334535879,0.29107337063775757,True
cicero_g034_p004_ENGLAND,34,B,1,0.3124607777716589,0.590064105107201,B,1,0.8695128436705135,0.3412326247923488,True
cicero_g035_p003_ITALY,35,B,1,0.1298623719174813,0.5696354608833757,A,0,0.30030339934832945,0.29543893439732555,False
cicero_g036_p001_ENGLAND,36,B,1,0.9923069953864018,0.6616670731011705,B,1,0.9748053786079115,0.3679470582101062,True
cicero_g037_p009_ITALY,37,A,0,0.6348735109801849,0.5836260983180225,A,0,0.5377761143181639,0.23385205512880983,True
cicero_g038_p001_TURKEY,38,B,1,0.6088124253793936,0.5598588441790628,A,0,0.35347017854133606,0.3025510798660409,False
cicero_g039_p001_ENGLAND,39,A,0,0.1637177096262919,0.5839130605129711,A,0,0.7705036977194614,0.344278863085676,True
cicero_g000_p001_ENGLAND,0,B,1,0.7738667370579925,0.6533260610127554,B,1,0.8166850297818182,0.3305340158146989,True
cicero_g001_p001_ITALY,1,A,0,0.4043655832152971,0.6454033264843084,B,1,0.8913184554664919,0.30958179757961335,False
cicero_g002_p005_RUSSIA,2,B,1,0.6500578341118814,0.5815080600061142,A,0,0.08586137993653128,0.22692501389992606,False
cicero_g003_p025_ENGLAND,3,B,1,0.8717169798658669,0.6223597463683544,A,0,0.44115858360343074,0.32092787964594965,False
cicero_g004_p005_GERMANY,4,B,1,0.0971412248036423,0.5861083209482507,A,0,0.02624953922620139,0.3135530780933905,False
cicero_g005_p015_AUSTRIA,5,A,0,0.4893965946949725,0.5867491496513918,A,0,0.025691496669244307,0.29550939301556417,True
cicero_g006_p024_TURKEY,6,A,0,0.0055160903213782,0.6016990735811272,A,0,0.06498186454982677,0.3000451931025792,True
cicero_g007_p000_RUSSIA,7,B,1,0.4146491270430285,0.5849756809527648,A,0,0.22352934971088032,0.30583290263768104,False
cicero_g008_p001_ITALY,8,B,1,0.0817138872698722,0.5416710575585796,B,1,0.13715418981827168,0.31478551736208316,True
cicero_g009_p003_ENGLAND,9,B,1,0.9562440535696564,0.5903363735730206,A,0,0.8666227011366765,0.32464959056605014,False
cicero_g010_p028_FRANCE,10,B,1,0.899476667295648,0.6672372404389503,A,0,0.004744144378976047,0.2946667032137245,False
cicero_g012_p001_RUSSIA,12,A,0,0.0433109301500726,0.5756651511693609,B,1,0.2719265083230572,0.14570324310284866,False
cicero_g013_p001_RUSSIA,13,A,0,0.2724823949812004,0.5612465123494715,A,0,0.3771634903525318,0.2987729167109638,True
cicero_g014_p001_RUSSIA,14,A,0,0.0800286138998766,0.5764548530208248,A,0,0.13683571335219835,0.2704994809574504,True
cicero_g015_p005_ENGLAND,15,B,1,0.8166204137203417,0.6773895919453197,B,1,0.2097120882546931,0.30423982315337605,True
cicero_g016_p001_ITALY,16,A,0,0.4007227568297266,0.631959406821844,B,1,0.9738507430871068,0.310035596628397,False
cicero_g017_p005_FRANCE,17,B,1,0.03264091752317,0.5823604553806515,A,0,0.098097379097556,0.12707804845873474,False
cicero_g019_p009_ITALY,19,A,0,0.8172124105392132,0.585638082110516,A,0,0.33963662383937365,0.2908217399431932,True
cicero_g020_p005_ITALY,20,B,1,0.4050727333482748,0.6599268924780934,B,1,0.4489660342049627,0.28241274785284887,True
cicero_g021_p005_FRANCE,21,A,0,0.958717433910048,0.6855626417198278,A,0,0.20952406359057113,0.32021804225750206,True
cicero_g022_p005_ENGLAND,22,B,1,0.10607210744717,0.5837762344014832,A,0,0.308484821745901,0.2892911981508562,False
cicero_g023_p007_ITALY,23,B,1,0.6835617691208904,0.6040803728097243,A,0,0.130510092724249,0.3026380563105684,False
cicero_g024_p001_FRANCE,24,B,1,0.9817971179093192,0.590301761178158,A,0,0.8306457619209705,0.32007775586210646,False
cicero_g026_p001_GERMANY,26,B,1,0.8178174166390225,0.6513559499161322,A,0,0.7897209776274455,0.35800228317468424,False
cicero_g027_p001_AUSTRIA,27,B,1,0.917956472914406,0.5848753362424833,B,1,0.7042791585471934,0.2894605712454063,True
cicero_g028_p001_GERMANY,28,A,0,0.9502738215991072,0.5902603617907923,A,0,0.18641835131027062,0.33262227222154706,True
cicero_g029_p019_RUSSIA,29,B,1,0.0449384349728437,0.5795293383792589,B,1,0.18588303118885152,0.2769181734275698,True
cicero_g031_p000_RUSSIA,31,B,1,0.8674832897692162,0.6895080769371122,B,1,0.3825724620551859,0.3370235770693548,True
cicero_g032_p001_AUSTRIA,32,B,1,0.7504406122783064,0.5809710799858844,A,0,0.2787114237657419,0.19255848130579473,False
cicero_g034_p001_ENGLAND,34,A,0,0.7298007783458536,0.5902937128096721,B,1,0.8787418002185324,0.3501436781187681,False
cicero_g035_p005_ITALY,35,B,1,0.6827207847590043,0.6065835139046346,A,0,0.01837402977106653,0.291975292830158,False
cicero_g036_p025_ENGLAND,36,A,0,0.9585557267162048,0.6915994300657896,A,0,0.9318478856077457,0.3397630483107193,True
cicero_g037_p001_ITALY,37,A,0,0.2734138014325432,0.5825007272263464,A,0,0.8206606117885691,0.3397345869958733,True
cicero_g038_p003_TURKEY,38,B,1,0.2843963593981878,0.5502995748455352,B,1,0.9540008232391666,0.28552420531951855,True
cicero_g039_p016_ENGLAND,39,A,0,0.0038102137424296,0.5864605779004867,A,0,0.5682607146041714,0.317488143226699,True
