state_id,game_index,fold,prompt_sha256,prompt_chars
cicero_g027_p003_AUSTRIA,27,2,b1ad3c9a3dd22fa12ea864f6ea3101ed94b3a9ba8dc04a8bc522edd1930c60ed,3183
cicero_g028_p003_GERMANY,28,3,d61d7dbef54ca7d1f591a774f81a4c1d21292f08ee17c7953ece2ea351eb9cc2,2334
cicero_g029_p018_RUSSIA,29,4,2907383be096ece68b986f801fb5d47cf442c828a2f6451bddfa36d0e64a79d5,3301
cicero_g030_p001_RUSSIA,30,0,e8353ab57d084d6728212c570deac4ef9fa045c0594da12b0599b3827203596a,5397
cicero_g031_p012_FRANCE,31,1,b035f08a6367b88975cd49307e66e316b4479a930391b32274d17b6a4bd15312,2072
cicero_g032_p003_AUSTRIA,32,2,d82e177449f7c1c0d51b7dbec3f5d9d429029b281653f7807c395ef4ea53019e,2507
cicero_g033_p009_AUSTRIA,33,3,b0b642a79e5ee2b0353776984a157eba539ee6abdea13d934794e739c1b6641b,2509
cicero_g034_p004_ENGLAND,34,4,e488aa12ced5bab536ab7c68d705aac9cfcfa763a91a6594ca626bdfcaf0aa33,2583
cicero_g035_p003_ITALY,35,0,f956c29d550812fd20fff17b0c805f8f81e7d0b1c5c3612f3f28e180b0a976e2,3008
cicero_g036_p001_ENGLAND,36,1,30ee72094db763394a784244bd8a6ae3abe0b9fcb2363c9ac03fa38a09e3b862,2252
cicero_g037_p009_ITALY,37,2,3e3e037468311835e0fa9ed5f6f28210d4e46313db0dfd09e596281370f2c559,3224
cicero_g038_p001_TURKEY,38,3,7995cfa7af4470739f31168bee25a84f72fd7200deb2b2652610721afbf34879,2559
cicero_g039_p001_ENGLAND,39,4,e5100365a9cc8b12fe5c0960e73263af018db28be04787dd7d8d4d2557e5a967,2947
cicero_g000_p001_ENGLAND,0,0,add833d1b5c8ee99059ef85652115c92d5b293589fa8eee84757d930ab3ab070,2388
cicero_g001_p001_ITALY,1,1,be204cb95ed3886f8de08123acfaa4f19a104fe30e29c801ea608a49fd9f48f4,2366
cicero_g002_p005_RUSSIA,2,2,81ce34ec30c89264d131b95d5fb5fdd73dff4a2dfb3adbc4fa6199db615bcd1c,2982
cicero_g003_p025_ENGLAND,3,3,ee8b2984f726aaa319895cbbab1301ec669bd335818009f8093bf21baf41c653,1945
cicero_g004_p005_GERMANY,4,4,5ffe4e569e3280786915d3904cc9dc887f90d4547689f9a5bfcfee0a8ac32b63,2431
cicero_g005_p015_AUSTRIA,5,0,cd625d5fb28bb367a2d39dd178459d136cdd42816c3ef936f35d5a7c71ba71ce,3286
cicero_g006_p024_TURKEY,6,1,b03235d3fc4bab45974d4391456b407a0ce71916107564e36b1897c6903a40b8,3058
cicero_g007_p000_RUSSIA,7,2,abdf53829d2bf80eba704e4df22b77f1757767c718ad0ea9b4258d38206e081b,2424
cicero_g008_p001_ITALY,8,3,e4fd9e31b491ef3f67aa87fda458101993714a140a851393b381e58c9089aeb5,2895
cicero_g009_p003_ENGLAND,9,4,d6e035a29cc85658574971583c3da5c504d2bb00518f70105b3e5d8a8697eed3,2143
cicero_g010_p028_FRANCE,10,0,df218916722c2f170218bce652ec70c8dda556db29dde81bf8964fc2bea69547,2494
cicero_g011_p003_RUSSIA,11,1,943a5403d094e72098b0311745f5ef1d338fa240c49d10fa23c3aaae1eb77e45,3564
cicero_g012_p001_RUSSIA,12,2,8f04cdd57d8ef3c3729114cb998ae1e29f6f22ebbcdf1c8398ea7b558f2ff79e,3621
cicero_g013_p001_RUSSIA,13,3,f1e12d8f5d3384f46fa5892a107e046566f829e44e7bb9cbfde9f455cd273184,3340
cicero_g014_p001_RUSSIA,14,4,38705117b185b2f1c808b5f00b4ef1c8cf27ba75a6f1d3db63f02124dbaa3a73,3137
cicero_g015_p005_ENGLAND,15,0,da26a2c19efac48e0c0e80c7065e9a798f6ef3318fb522849ee1cdf52e52667b,2219
cicero_g016_p001_ITALY,16,1,97bd50ac18ed7bbcad6e2f9d68cccda7e8f00edd5ad4faac949d50a3eeaa5250,2445
cicero_g017_p005_FRANCE,17,2,4da3405a0ed8f5899490ece408a74090af343e41cd825ddd3fc3e10647548091,3443
cicero_g019_p009_ITALY,19,4,9099a68f1ea7fbd89bf4e20ef5015fb15b0fd454c228c3cf0399acfe6d131382,2331
cicero_g020_p005_ITALY,20,0,084d71d84e94069b75ab9e6baa50ab1341e215747a6d9603888501b0b4f521bd,1987
cicero_g021_p005_FRANCE,21,1,397ac4086073d954f5ba6f88edf08bf1ff392ae096b54227f77e8ddfd98e472e,2420
cicero_g022_p005_ENGLAND,22,2,c6c3d42c119c9033475a155785d48f5fe74860cc7250c1494a4dc4173c540903,3155
cicero_g023_p007_ITALY,23,3,2eb074e3e6ff50b07d8fc1961e1615d18ec31369bf5eee86ff5db8a9ac040407,2174
cicero_g024_p001_FRANCE,24,4,1779498b346631b00c028a923898067131cdc1d3285685aa818042d06d233159,2071
cicero_g026_p001_GERMANY,26,1,9bfa8bf469771ec0afb1ef71b187f1b65200541c4ff5adbca0fbd0b6f0f73ca6,2381
cicero_g027_p001_AUSTRIA,27,2,823470773bc905b268d61bb53bcd7511e58b2fa0829745d062e0027e8cd89614,2127
cicero_g028_p001_GERMANY,28,3,bd448383dd4cbc407898c689b142e8d92c85a27b9b60359efa35733d16bbf1fa,2050
cicero_g029_p019_RUSSIA,29,4,0bfb3c13cfbd728074c9d504e8af1c9ec59b72cc2ebcec9837c802c4789c9b5d,2997
cicero_g030_p000_RUSSIA,30,0,b191232c91ed281cfefdbf47747a9d8d59efe2a157b394a20fa7d2f6ed935917,4855
cicero_g031_p000_RUSSIA,31,1,5aead4544110d9b9fdce3fe5c68312cedead86d7e94e5f59094d192dce75214d,1911
cicero_g032_p001_AUSTRIA,32,2,eb87b147ca12042dcf5cda3a1c9fd9250243f017fd47089f128b690963a76436,2352
cicero_g033_p013_AUSTRIA,33,3,51e8addf97aced62aec3be363e852cb1b4075f0fcc6302c4af3fe0f818175c84,2614
cicero_g034_p001_ENGLAND,34,4,7579f065ef254e0b34a389c92c0439246f1ca25a3a50d14a43835acbcf2b66c7,2404
cicero_g035_p005_ITALY,35,0,f6b84eafc5b834866c0563525b5fafcbfdb7a7068cb00e960df4c34d1c85d143,2461
cicero_g036_p025_ENGLAND,36,1,0fa1395dbf91cae59febd6e1c22d0dca96ac7f13b66c9f62c7bb9bc5af780faf,1855
cicero_g037_p001_ITALY,37,2,b75abf8c6594176edd7c5757d1fedc81387537b369b27ef9a2c5187e6d3b71a6,3248
cicero_g038_p003_TURKEY,38,3,ecae15efd2060c022aa55484cfedab5109550abf19ee3441c7c942cbd56200d0,2582
cicero_g039_p016_ENGLAND,39,4,3099e7a3d75b044e906c24acc98db0c58c4e428c489adbe90c52f5a39b310d49,2849
