state_id,game_index,fold,phase_index,phase_name,power,counterpart,focal_location,option_a,option_b,conversation_volume,pair_score,parent_game_sha256,post_state_sha256_a,post_state_sha256_b
cicero_g012_p005_RUSSIA,12,2,5,F1902M,RUSSIA,GERMANY,SWE,F SWE - BAL,F SWE S A LON - DEN,37,380,3489986c92b708a9727e7b192118c706e6c5511a1595bd92fbe71167cfb85f1d,90b19dfbc3da4f7da45d5cd97d613e4e830ea5483ed0909a551f303dbf5ece43,84cfade52a555fbb920d56acf8ad1cc69d889e5e6feeba02d395a4e7631ea088
cicero_g013_p000_RUSSIA,13,3,0,S1901M,RUSSIA,ITALY,STP,F STP/SC - FIN,F STP/SC S A WAR - LVN,35,140,d3b2d13ff0742f7e38f18619a75dcb961cb1501854490a8d62fcf3bcff876cc8,02c3c680fb490bc833e87476a04bf14bd95db4e05187cdb6bf3e2b3fca01c2b2,be9aa67f265213c15148d69c3a3c675e140ae87d4f6ae374ffb422b2e0a2e230
cicero_g014_p000_RUSSIA,14,4,0,S1901M,RUSSIA,ITALY,STP,F STP/SC - FIN,F STP/SC S A MOS - LVN,26,140,a9523c6c7eef884fc322ef39a050a48c478529a90d529c76d0d22464bf9ab4b9,549f4f7c8ed956ea8e8612b97ef67993b2e8846fc9a6783b62a9decd4fc25353,1196729f4da77063a8f9f7897b4dbf7eadbd7f34a538877dfed6eb5686ff4af7
cicero_g015_p001_ENGLAND,15,0,1,F1901M,ENGLAND,GERMANY,NTH,F NTH - EDI,F NTH S F PIC - BEL,10,180,5af21173c846173bbc082757a596fb2dbd4a788f75808f98776bec4a97de6235,bc053b621ee8bcaf441e25c46cf423c58dbea69c0aa7c685d93296773839c884,8074cc49ff3a39272f577af38d37f8636d0e6e1bcbdfeb74a7427b6d90caf764
cicero_g016_p004_ITALY,16,1,4,F1902M,ITALY,RUSSIA,VEN,A VEN - APU,A VEN S A SER - TRI,21,180,c35ac8f43b6ae482ccd6ec116383123d9e53bc904797f90d1d873f34995631f6,8fd6a032630497cc4f4c2afab743fc33764e5a70f0a9a356c226e56b989aaaa8,6968ed1b883a0c4beed7349c9408205473bee902f52b77a26308b7c4e3079168
cicero_g017_p001_FRANCE,17,2,1,F1901M,FRANCE,GERMANY,PIC,A PIC S A MAR - BUR,A PIC - BRE,42,240,304650ff7c71d3b165f115488e45b7e580b625e90413e8781fe05e11fedd990a,fbcfbb364a22c393606bc04248155756efac996c5004d2f30c9e1520e2a72b88,a350bcc6543329bf0c0e04838559865d5aa3ea18b066afb3c76714fd34466f36
cicero_g018_p001_ENGLAND,18,3,1,F1901M,ENGLAND,TURKEY,EDI,A EDI - CLY,A EDI S F NTH - YOR,2,120,dc94714ab76745d0040a8c04cbd9875f7671b5d2ea26349df94d73ad4e8c97a0,e2479e2c3d98ef7dd605e457b287c4eba9267d2f1eb0547a3fc2c000c6f17285,3a13b35be07276bd758c01456d774e798373af3b25c2c3cd2339d0f760453eb1
cicero_g019_p007_RUSSIA,19,4,7,S1903M,RUSSIA,ITALY,STP,F STP/SC S F BOT,F STP/SC - FIN,11,120,5533595e7ebfbfd4e82df4384c9cf80bbf1a3d677bdb6dc9e039aa9b569ec1c8,860d19a9e8d8414310d3feafc83212fa88deb5fb95779abb40935c1bb8cd7d9d,2a5a76d7cfb0025adc499f81f44244ba0b45ca7facea1f0fcfef963f6a2b0a31
cicero_g020_p001_ITALY,20,0,1,F1901M,ITALY,TURKEY,TYR,A TYR S A TRI - VIE,A TYR - BOH,9,200,320999a0585b631316366947453d9d4cdf0d8bacdb5c99444946ebedba7cf7d7,117eab5e6fba9fb35b31692157853567f8b47ecfe98a4aeb06062af0b72c5163,3d10bf21dcf175ce1eff85bf7a73baad8bce550ce43032c578bc403a7dd5e2c4
cicero_g021_p003_FRANCE,21,1,3,S1902M,FRANCE,ENGLAND,BRE,A BRE - GAS,A BRE S A BUR - GAS,10,120,308f8b3c67c3a6b30a56005619eb582d6439405aa1102b52508ab6b1979fa542,5e2fb8ab00987e6bae73a3962740334bd1ee996850d35ad1e4311c13c8cc0288,772c1aa22d12d0bd3ed8e024a8875042075ad5d6ed00fe305dfd2a7bd2ca6055
cicero_g022_p008_ENGLAND,22,2,8,S1903M,ENGLAND,ITALY,SPA,F SPA/SC S A BRE - POR,F SPA/SC - LYO,28,260,ffe565bde71b2bb06bd3d4b713ad896cbdc6407f094be01e89d45fd73d5b54ab,eb56c2636f45da0a283d23ff3d91562d1940f2c21296700bef3c6b422b096a97,d8fd8d2102a8217b52e99ac67da33acd5064eb760a1b5ba5f36b6b180976c59a
cicero_g023_p009_ITALY,23,3,9,F1903M,ITALY,FRANCE,APU,A APU - NAP,A APU S A PIE - VEN,7,160,98197d2f52dda11b949184934cf5e01b9d244a3a0d26f5e702657b55c78523d2,43754a141b71c64ed8568cb33ab924b1abe7e6bbd206406daf4f075fbb930a45,b7f40acb82815b913212ac08028eaae5376ba5e488f98356ffa627edbdf7c9db
cicero_g024_p005_FRANCE,24,4,5,F1902M,FRANCE,AUSTRIA,SPA,F SPA/SC S A BUR - MAR,F SPA/SC - LYO,8,120,934e96f51bfa25443cdbb866e30c799aaef5568ed9feb6160400e97da8c23b59,07db6596a7151608e84ebba93e12c0e972bf72090c817965af3f7ead17c953be,3c9d58f18af7cc7f3bc0d7f28262caba66878fd075f6aa0af63b562cbdf08f57
cicero_g025_p001_ENGLAND,25,0,1,F1901M,ENGLAND,ITALY,NTH,F NTH - EDI,F NTH S A KIE - DEN,7,120,5c7a9293ad9324874202990603eb0d483fc3126e0c697871bcdc65c1fa6799b4,d4d6ab3755787b49ab7b4f25a4d9bed2df6a3fbac88b6a06564b3f08cf18a473,16d01e06e3eaa14276438c2acba432f2ddee3bcfe7842c6fb5f1472a11b6b4cc
cicero_g026_p003_GERMANY,26,1,3,S1902M,GERMANY,ENGLAND,DEN,F DEN S F BOT - SWE,F DEN - BAL,9,180,4324853ff3bc84e605c872afb7c9a84ab8739f6583796029c740d05dc63b0ca7,ff5f76c1b135ed25bd090560f9a7246aeee5858db4053a96e59d0b87dfc6f416,d4c5701fffb6b818cc59ae6ac1613d66755e1f99658d2fbca2e7d6dfa56fe5f7
cicero_g027_p003_AUSTRIA,27,2,3,S1902M,AUSTRIA,RUSSIA,BUD,A BUD - TRI,A BUD S A GAL - RUM,18,280,197ecbfec37425b8bb7964d31c8a03f97dd1c619a2e5f8abb2596e1594f30fcd,1e88d6d12f15c47afb7691f32e377c3a1402c3cdeef58b13ae730b2c8cd97066,6415cd0bca22d87d41e0bc9f66e65820cac4794bb0e42339344573578c31db28
cicero_g028_p003_GERMANY,28,3,3,S1902M,GERMANY,TURKEY,BER,A BER - MUN,A BER S F DEN - KIE,11,140,55150eaa7ddcbd6153b4bc67fd3a9595825dacd442b81604819358eaf33d7c4f,c7690f00aecb61a782c55d32da4b102847e5729f4bfddc2ed2c16be162c0169a,41d7c1cca8bbe31d97352fd69ad63b3014752e4813ee2a06557a92613461b3d2
cicero_g029_p018_RUSSIA,29,4,18,S1905M,RUSSIA,ITALY,STP,F STP/NC - BAR,F STP/NC S A HOL - NWY,25,120,94b8e3897943700e2215b173c9de9ad418965d54fb383ab108746925ded417d7,5382963f3447c721dfd01afa384fd0121b9cdf280a28464bc62acf75d1c0f13c,b4bbc75650a24c35dc9f9cfe55770cb9e07c56e5ce350927392901ae23fcc74e
cicero_g030_p001_RUSSIA,30,0,1,F1901M,RUSSIA,GERMANY,BOT,F BOT - BAL,F BOT S F DEN - SWE,51,320,0143eb6dae0273de2eb5fe99cd0b09e2650446ae204dd96dc4a9729832346027,086ba54eb430cdde81e4b11c97e3e9e9f347570fb8b8bcf726f952200cd101bf,f9414dc8b139fcfb69350cbc11767c37190baca0ae94d41d49cb4ebc75d9ce1e
cicero_g031_p012_FRANCE,31,1,12,S1904M,FRANCE,RUSSIA,MAO,F MAO - BRE,F MAO S F NTH - ENG,5,140,dc49ff078a2fdae6dca5c3d24e73acc80b04ea2d0f6c80a22264741e7a34cf1c,9d4540b9c36d8e0bb13c7ac43ae981b374f8cd3ede85a487f84cb620f55ba9c9,8944d2b91b8f3d36dc5b42384394598484fde39fc4bae67fd391e580c4480934
cicero_g032_p003_AUSTRIA,32,2,3,S1902M,AUSTRIA,RUSSIA,BUD,A BUD S A GAL - RUM,A BUD - TRI,13,220,d5bac7a8291d2b444029279c15eebacaa7db6e9d689df9584c38596af7aeb4df,489ef8538d273454b20e1dd340007fc23b31bf879ebc85a81c913ffb5630a8c2,3a9f4ee1b12e3d2362459a4555eaa73eec1dbf48a97f90038cdd59f99279d09f
cicero_g033_p009_AUSTRIA,33,3,9,F1903M,AUSTRIA,RUSSIA,BUL,A BUL - ANK VIA,A BUL S A GAL - RUM,13,220,f9bd837282ad276e348c4e838d42994045a9d5ddc6ec3b938f1b1a8470e8ef94,75ba43b233f147d5d35757c3312732741292f9e5551f0dd204e822bddcf5caff,82b8f8bc5eaea7fa0982436c68b198b950cbfcc127b4a213ac7d6184f995760a
cicero_g034_p004_ENGLAND,34,4,4,S1902M,ENGLAND,GERMANY,LON,F LON - WAL,F LON S F DEN - NTH,16,220,b95d9feab079779895c3163443961a591e32f792d1c41dffcfe05bd448c43168,8704a5962a3b343f61a1c6e682e59b1ec3bec8492d3bdc72d364cc4cffcadf13,932f3e76a99a72c2fc573e70ee12cc542cf4b406a3de18d92e247a301cf32e40
cicero_g035_p003_ITALY,35,0,3,S1902M,ITALY,RUSSIA,ION,F ION S A TRI - ALB,F ION - ADR,19,280,10908a31042e8f1bfe068d8b7aa65359c09b702840521cd56061fc6e3c30a37a,d2fefa79f889b6404211c94a082e276371166fc305ff7949209a24678dd1ddbf,d45372f18dbb18d7e2897bf1803f6a5915e3eef3d064dfcdd50b6980049083b9
cicero_g036_p001_ENGLAND,36,1,1,F1901M,ENGLAND,GERMANY,NTH,F NTH - EDI,F NTH S F DEN - SKA,9,220,641aeb393e64ece80a9f07e75760a6f91d6a5746f24e578aa1ee3f1b01f0dca3,df151ff1b6f0683ae2653f0b440305eac57d4d49156be0138732de2a229fe843,19fdea9464d172e566d88e45e0d155c9c8f6e88a4ffc582b8424bddfeec7bcb9
cicero_g037_p009_ITALY,37,2,9,F1903M,ITALY,ENGLAND,VEN,A VEN S A SER - TRI,A VEN - APU,24,300,f59e4e63d9c52f7399fe75d61c77529496164c0aeb38509f9889ccfd2eede3c5,ea17fa086838dade64dd3eb268bfb6479076f30883d80d2d61787d9265c9a538,b74bf8e46a3bf913717aca3fc9e0fafe4fb354e11a03c3324b0356a32ac8b5bb
cicero_g038_p001_TURKEY,38,3,1,F1901M,TURKEY,AUSTRIA,BUL,A BUL S A GAL - RUM,A BUL - CON,14,200,c913afff8497a606b8e9fa40069889f4a441e5544524ddc97b6bc665c1e70fef,504351be4d102512be700e9dde3265a93a5956a8336965b3b77136c7bf627bba,ebff43848d3b970fb84a16fde83125cdf4b999477f6cbc7c01bc5d32a628334e
cicero_g039_p001_ENGLAND,39,4,1,F1901M,ENGLAND,RUSSIA,EDI,A EDI - BEL VIA,A EDI S F NTH - YOR,23,180,bd6fac38add73cba5ee04b62d7ad9969ae72a2bf39ec3a31de81bdba0b0cc921,69bb1d291e76db2957f2ebe1a99c2c904b07260a2d880c3cd7e13de9ada096f4,3fee403bc4f08b33885fff0a0785b327ddfc21add493b48305d314885a21a038
cicero_g000_p001_ENGLAND,0,0,1,F1901M,ENGLAND,GERMANY,NWG,F NWG - BAR,F NWG S F NTH - NWY,13,180,41f5af9f04c59c693879cf86847f8bad0bfe7a6981ec94bfdf9c2d82352873ad,d44123d01b12289ae4eac2d47c138ca16f5798a2b24688b535e1d311b8fc4660,e4c15730eb9ff87b0151638da91254110358ae445847b929a757d51115a248cd
cicero_g001_p001_ITALY,1,1,1,F1901M,ITALY,AUSTRIA,APU,A APU - TUN VIA,A APU S A TRI - VEN,15,160,7cf1bd91443316dd0906448ac0110b7d3b72ed7163a25056b81fc4deaeb59303,5141a0789b2f5b1e3077ee7d9d2635db05dad1623372fe816bd50235e7cc8ed5,b430f9a1d1aeafe377dea576df31b01b40bfa362bc73efee7ab0f7aa3941a5de
cicero_g002_p005_RUSSIA,2,2,5,F1902M,RUSSIA,ENGLAND,BUD,A BUD H,A BUD S A VEN - TRI,21,160,4fe41e7b36da0567c15bbbfc9578bfce22220f7b3dcc176142cc4a5b8e80916d,b4c45ee144e24e86a4b80d75fdbe315a3baf36d716a13fa69394ec520d531a45,e54fbe271a1e76374bdbb993f7030e0bf4a72fb206f07bde0b5fce119b7a8d88
cicero_g003_p025_ENGLAND,3,3,25,F1906M,ENGLAND,TURKEY,KIE,A KIE - HOL,A KIE S F SWE - DEN,3,160,f5c32af2c8e396811f5b76b77093a891757b0bb4b21e52aacaa5cbdef8bf3af0,654d0040e2c6740f487f5adb73c5867ba56267db1e5eeaefc261a8249817a13a,7d8f7e663eb05434822cbe96567d6ba11a6c336cb2be1e685810e07347680f39
cicero_g004_p005_GERMANY,4,4,5,F1902M,GERMANY,AUSTRIA,HEL,F HEL S F SWE - DEN,F HEL - KIE,14,160,06a0b557b7b5cd4a5d108d88da3555386a618a21876b435dbc38797409f5ceaa,a48b10a6a6cc28a0dbd4855786bc9af21e993d008f3594e7c07791fd8d0e9560,89f7e6c7193f2fd07667cafb4733e618a34d95daaa162214a811e1f7b7c7ddd9
cicero_g005_p015_AUSTRIA,5,0,15,F1904M,AUSTRIA,RUSSIA,BUD,A BUD - VIE,A BUD S A GAL - RUM,25,220,5149d4fafe4e88cf98b558f3cba59b9351ad9c484fc81e61504d1d08b4315967,cdeb4ebede6065d76da503a106fa11b4066972da2b74d9cc9b125dc655b0991b,420c230f346dfa61c72dbb7535a1d09d35ad3c6c8d5fe7a05da05f5a08c1b1de
cicero_g006_p024_TURKEY,6,1,24,F1906M,TURKEY,RUSSIA,BLA,F BLA - ANK,F BLA S A SEV - RUM,25,340,a82861eb49cb38c23eea660510a91cf71597b1ef1ce5b85caa6a07277b23cc47,65ce5b0b069bf47bf2962309860cf0968e002cec4f548bc6488aa4d6ae51289f,7b721ae79a1db4528e7d600b407bdfbec1107af05e372e98d7ad20eb7494cf9e
cicero_g007_p000_RUSSIA,7,2,0,S1901M,RUSSIA,FRANCE,STP,F STP/SC S A MOS - LVN,F STP/SC - FIN,12,120,5557c4b4e33617542d8b3b1cb7b24061bb897e3064baa0f99e9823f6842c810d,ed7b95b137c1b74d64bc0167473880f5261dd4f6a17e120049d324a331b68b44,652d5cc1e7c6c63053250df69f0711539ecc3cd6396af23a7e9e3cd9090f2118
cicero_g008_p001_ITALY,8,3,1,F1901M,ITALY,TURKEY,APU,A APU - NAP,A APU S A TRI - VEN,15,240,bbc5d8ab183d6c1ddfcda3afc0ae8f797330589e265d9bce34f7c2143a39cad3,6ebfb275bd29be6e3d4d335f9ab4c015456dece7bf3dbf7716bb10e571dad803,677416f59da62768b34d561189f5901f20b8e5b4d3abd2949badc47eac0a5a01
cicero_g009_p003_ENGLAND,9,4,3,S1902M,ENGLAND,RUSSIA,NTH,F NTH S F HEL - DEN,F NTH - NWG,8,180,091d4653dabc73d7f628339b543e29edd762032361729cee5b412d26f6301ccf,fe17726794aeba1b9239e61e0941f190ecd66b7c4f90553880405cb14f19c75d,997124675a87ad4b915a50c248764a3421007463d08a3ac4c657eaad2d10f482
cicero_g010_p028_FRANCE,10,0,28,F1907M,FRANCE,ITALY,TYS,F TYS - ION,F TYS S A TRI - ROM,12,180,4821c19e5669be717b9a694e7e0747b453e95f4a97e0751333619e2add655b20,17fc34ab82c4b4efa719586e292bfed8d177918a835d11b63f8cde4df3c6d85e,f10b92adb0255c4eb264a40d6ae160744a628bc60801163430b37746e79febc8
cicero_g011_p003_RUSSIA,11,1,3,S1902M,RUSSIA,GERMANY,STP,F STP/NC S F NWY,F STP/NC - BAR,29,120,45fb9ebe521b9cc32d3be38b407c9fe7098449d1f4f0bd0561a173786a3974ed,a8d9d70aaa3e01954ba092eca4cefd53df8525f9ea92203569d44d1131fb4674,1224c227e97d60e9132b14cec40ba873d7f437c30055f7ea19531255c3e372e3
cicero_g012_p001_RUSSIA,12,2,1,F1901M,RUSSIA,FRANCE,UKR,A UKR - MOS,A UKR S A BUL - RUM,28,180,a856dd4c74cc32edc0d8ab75523726bf884bffcda7634197f0941604050f2736,6c382ebdde23436acfe11b80f810c64e15c11401fc2e074aff52bb8ece8f78a8,dbc6901e2d2a09546d33c21cead1234a2c3539909f0d5080c94dd7b56a8f7735
cicero_g013_p001_RUSSIA,13,3,1,F1901M,RUSSIA,TURKEY,SEV,F SEV S A BUL - RUM,F SEV H,31,260,f6cf1fd8b8c68f54818c3542f1c0cd6ad31d187855dddbe6f4ce0f696b27d6f2,0a67c01be5de677348dd39a9665f85b042105869cdacb2a11f51d19a50c5f99a,a5b6c7c0745b2313b4ab5d2272cabcb3b97af391a8636769ad3a62caf73a0a4e
cicero_g014_p001_RUSSIA,14,4,1,F1901M,RUSSIA,ITALY,UKR,A UKR S A RUM - GAL,A UKR - MOS,26,200,42a4db73cfd8be655e94daf0be62dcd0c9fb8d8fdc0a39b5faf5bbeb83be4af1,871a4206d50a54e97bae4d90ea43c9014603270776ca546b66801a03ebc8817a,dae1e60b27912ea4001396a6bdafd77a54dd6540c1f23c0e995460f92587e9df
cicero_g015_p005_ENGLAND,15,0,5,F1902M,ENGLAND,GERMANY,NWG,F NWG - BAR,F NWG S F NTH - NWY,8,160,1c197342b1fbbb51f35acbba04f24aad7b91102847bb0102d2b7c94288e59b78,cba05aa3b041424c1e5d82075d590b3391880257c3888a2b8ec2a3ddb2a66279,36bd7fb048f2b4ba6a1824188987199bc0fd6feb84a42e8af8178e648d683fe1
cicero_g016_p001_ITALY,16,1,1,F1901M,ITALY,RUSSIA,APU,A APU - NAP,A APU S F TRI - VEN,14,160,3303403d70fafd9f7b67ebb73f3714466cd8ec911dd683742133cf53ecf0bf9b,1de21f2c6baff1b37bb84eadde5e4fb11c1aaf45f042626e5cbaee888b422ba6,57e75cb9ba2d3f7cb8badddf43f11f9968797b5d9cb0d5749b590a87fae1b00e
cicero_g017_p005_FRANCE,17,2,5,F1902M,FRANCE,RUSSIA,ENG,F ENG - BRE,F ENG S F NWY - NTH,30,200,924d111eb8600f749cff46d992d2b536f82874799dcb62ebe5d81f0ce0de7dd2,c204c263bc6913376ebb00cd72a5a39635e5c8c006f16e05f31b40858f837725,b2d61c50d5d92cd8a034c67a3b9755887321d688e98c48e834ae15ccdb66e633
cicero_g019_p009_ITALY,19,4,9,F1903M,ITALY,RUSSIA,EAS,F EAS S A GRE - SMY,F EAS - ION,8,200,652268ed5d0fc3cc92b2a5e7c657ee8f4b78ea941f767bfc0547f529e8160636,c1e1dd931252e79daca0fc17c31829b5ce42d8c17864c3828f815035347f3b55,6d9c46483bf9e6c86d5644565051e95dff10c530aa30b1056a02b1affde47a4e
cicero_g020_p005_ITALY,20,0,5,F1902M,ITALY,TURKEY,TRI,A TRI - SER,A TRI S A BUD,5,140,88d824fecb79e496e8eb7e3f37cd728ca9fe065650aadcf57f71e30efd4c5caf,5da13ad6c6665c03c2f37b5a9e45dee3257f22bf5a423533148de3d9a1332f12,30dd686ae2424615b350eb1fe10d863a8ce29fc6c48c7e791f661d4fc774fb97
cicero_g021_p005_FRANCE,21,1,5,F1902M,FRANCE,RUSSIA,SPA,F SPA/SC S F ENG - MAO,F SPA/SC - LYO,10,140,1f474198209ce889fb5dfa93d5eeb48f3b781e2ea38f6c70505b0be4004d3019,740957245216c1b0c2d75321c641c29a3525a0cd036dc453a4e798eefcaa822e,0527eb327a320477d9c934d6961b2a1f5172b41eb46b6f95315152a3999a12ee
cicero_g022_p005_ENGLAND,22,2,5,F1902M,ENGLAND,GERMANY,IRI,F IRI - LVP,F IRI S F POR - MAO,22,180,9d9b89876009fb925f6ae341ee07713bc5c18d98e34be5a920afa3e7082012b0,41037f9a5aaf6c5ec941ec7037e16d7fea8576e40cf1b0dc91a37c4403dfd9ff,00624ae190c9046319d83d537fb9fd899f69a11762c0376dd1db76c6b9e12b19
cicero_g023_p007_ITALY,23,3,7,S1903M,ITALY,GERMANY,BUL,F BUL/SC - AEG,F BUL/SC S F ION - AEG,5,140,4516ac328d70ed72cf609253d65c1ebea16aeeb46232da42b685e8129ba4bb19,64e3aa16566f45f5848f0393887b94e2d681e14cdfd57e998b8abfc67239086c,4958ae20e04d799f81e254d2ba819c6f98d296a43bdd72141acbc6f43058c085
cicero_g024_p001_FRANCE,24,4,1,F1901M,FRANCE,AUSTRIA,BUR,A BUR S A BER - MUN,A BUR - GAS,6,120,3bdb1ee77594e66937e440d2479918c874d90046dfeff2a7d6c5bba6ce7007bf,45f56d1f844377407915b64351d38210075f294729491d7c80829a794078b48b,7eb8bd328807a19f416fa9872fcadec7b536c6d4b29db920220936412a7da272
cicero_g026_p001_GERMANY,26,1,1,F1901M,GERMANY,ENGLAND,RUH,A RUH - KIE,A RUH S A BUR - BEL,8,180,794d0891cc5d555a31172593f9b52cacc268ceeffb5bb5b87b38038df61c0397,278727223a48539aa5ebdceba7332c2e8f5f332b69a86b83275df58607eaaa3b,80325c671ffd97c56ccb545d489e8c6bba27d361f0fcd1511ef4309785cdcaa2
cicero_g027_p001_AUSTRIA,27,2,1,F1901M,AUSTRIA,RUSSIA,ALB,F ALB - ADR,F ALB S A BUL - GRE,8,160,011d54b7c270e64d9d80f9153442642d859a9645ed11968a2d34769713e2f42b,1efaf9c035ae171d1cc536e6a4261b629fd027fcb8b7ee3cd73bdc2b6cd2999f,76db30378aa22d89c94e9beca22ad9a72c16ff27a1e45f8bbd142d45653af1fe
cicero_g028_p001_GERMANY,28,3,1,F1901M,GERMANY,TURKEY,DEN,F DEN S F BOT - SWE,F DEN - BAL,9,140,df31ae9384f1cb439e085ba33a96d97e72316ec9003b9ca5e9c01066acf13eb0,1c6191659ff76f9ddca5955b0b375e07c6041ae2adb91eb67640943bdc0c4246,d94151608f8b0fc8180900ea0720861a26eecacefe223427f330d1b174291179
cicero_g029_p019_RUSSIA,29,4,19,F1905M,RUSSIA,ITALY,GAL,A GAL - BOH,A GAL S A SEV - RUM,19,320,ff9beb0da45755010e4d96d25a04981b5edddde753636b2e214f3d3c67dc4fef,035d3c30a4efe75a7840fcd9bcebd933e2661f9077519a58999d4c40d9a73d0a,4eef7b5dc5350cf89c2dc6f5f45ada88875bd1538fdbbc1fb605e11a3e1c68e2
