state_id,game_index,fold,phase_name,power,counterpart,focal_location,option_a,option_b,conversation_volume,pair_score,parent_game_sha256,post_state_sha256_a,post_state_sha256_b
cicero_g010_p031_FRANCE,10,0,S1908M,FRANCE,ITALY,ENG,F ENG - BRE,F ENG S A EDI - BEL,18,180,a2dcaaf02be03cc7f668e501e91774c1f561370f970dfa0125a697eebc3783e3,a822d7f1a685050f8ecc4d058e8b8e3d2799a17cf02061b61b6a4559696c251b,3aa6bffa0988c7878ad664511c6e3e4799bda252587dd22ad7afac1d35b707ae
cicero_g011_p001_RUSSIA,11,1,F1901M,RUSSIA,TURKEY,SEV,F SEV - ARM,F SEV S F ANK - BLA,31,200,7bafb7835d90100db1e87d25a7c1d5976b6dcef4742d62eb99939188dabd25ee,2a23878030d8a789ac1a2d657fd87f0406c9c369df7095b98912d40a92786bd9,3cf932fd1508f7f7acf85ad0c70496bd0b6fb5fd8dcec251e694b63649f3fff0
cicero_g012_p005_RUSSIA,12,2,F1902M,RUSSIA,GERMANY,SWE,F SWE - BAL,F SWE S A LON - DEN,37,380,3489986c92b708a9727e7b192118c706e6c5511a1595bd92fbe71167cfb85f1d,90b19dfbc3da4f7da45d5cd97d613e4e830ea5483ed0909a551f303dbf5ece43,84cfade52a555fbb920d56acf8ad1cc69d889e5e6feeba02d395a4e7631ea088
cicero_g013_p000_RUSSIA,13,3,S1901M,RUSSIA,ITALY,STP,F STP/SC - FIN,F STP/SC S A WAR - LVN,35,140,d3b2d13ff0742f7e38f18619a75dcb961cb1501854490a8d62fcf3bcff876cc8,02c3c680fb490bc833e87476a04bf14bd95db4e05187cdb6bf3e2b3fca01c2b2,be9aa67f265213c15148d69c3a3c675e140ae87d4f6ae374ffb422b2e0a2e230
cicero_g014_p000_RUSSIA,14,4,S1901M,RUSSIA,ITALY,STP,F STP/SC - FIN,F STP/SC S A MOS - LVN,26,140,a9523c6c7eef884fc322ef39a050a48c478529a90d529c76d0d22464bf9ab4b9,549f4f7c8ed956ea8e8612b97ef67993b2e8846fc9a6783b62a9decd4fc25353,1196729f4da77063a8f9f7897b4dbf7eadbd7f34a538877dfed6eb5686ff4af7
cicero_g015_p001_ENGLAND,15,0,F1901M,ENGLAND,GERMANY,NTH,F NTH - EDI,F NTH S F PIC - BEL,10,180,5af21173c846173bbc082757a596fb2dbd4a788f75808f98776bec4a97de6235,bc053b621ee8bcaf441e25c46cf423c58dbea69c0aa7c685d93296773839c884,8074cc49ff3a39272f577af38d37f8636d0e6e1bcbdfeb74a7427b6d90caf764
cicero_g016_p004_ITALY,16,1,F1902M,ITALY,RUSSIA,VEN,A VEN - APU,A VEN S A SER - TRI,21,180,c35ac8f43b6ae482ccd6ec116383123d9e53bc904797f90d1d873f34995631f6,8fd6a032630497cc4f4c2afab743fc33764e5a70f0a9a356c226e56b989aaaa8,6968ed1b883a0c4beed7349c9408205473bee902f52b77a26308b7c4e3079168
cicero_g017_p001_FRANCE,17,2,F1901M,FRANCE,GERMANY,PIC,A PIC S A MAR - BUR,A PIC - BRE,42,240,304650ff7c71d3b165f115488e45b7e580b625e90413e8781fe05e11fedd990a,fbcfbb364a22c393606bc04248155756efac996c5004d2f30c9e1520e2a72b88,a350bcc6543329bf0c0e04838559865d5aa3ea18b066afb3c76714fd34466f36
cicero_g018_p001_ENGLAND,18,3,F1901M,ENGLAND,TURKEY,EDI,A EDI - CLY,A EDI S F NTH - YOR,2,120,dc94714ab76745d0040a8c04cbd9875f7671b5d2ea26349df94d73ad4e8c97a0,e2479e2c3d98ef7dd605e457b287c4eba9267d2f1eb0547a3fc2c000c6f17285,3a13b35be07276bd758c01456d774e798373af3b25c2c3cd2339d0f760453eb1
cicero_g019_p007_RUSSIA,19,4,S1903M,RUSSIA,ITALY,STP,F STP/SC S F BOT,F STP/SC - FIN,11,120,5533595e7ebfbfd4e82df4384c9cf80bbf1a3d677bdb6dc9e039aa9b569ec1c8,860d19a9e8d8414310d3feafc83212fa88deb5fb95779abb40935c1bb8cd7d9d,2a5a76d7cfb0025adc499f81f44244ba0b45ca7facea1f0fcfef963f6a2b0a31
cicero_g020_p001_ITALY,20,0,F1901M,ITALY,TURKEY,TYR,A TYR S A TRI - VIE,A TYR - BOH,9,200,320999a0585b631316366947453d9d4cdf0d8bacdb5c99444946ebedba7cf7d7,117eab5e6fba9fb35b31692157853567f8b47ecfe98a4aeb06062af0b72c5163,3d10bf21dcf175ce1eff85bf7a73baad8bce550ce43032c578bc403a7dd5e2c4
cicero_g021_p003_FRANCE,21,1,S1902M,FRANCE,ENGLAND,BRE,A BRE - GAS,A BRE S A BUR - GAS,10,120,308f8b3c67c3a6b30a56005619eb582d6439405aa1102b52508ab6b1979fa542,5e2fb8ab00987e6bae73a3962740334bd1ee996850d35ad1e4311c13c8cc0288,772c1aa22d12d0bd3ed8e024a8875042075ad5d6ed00fe305dfd2a7bd2ca6055
cicero_g022_p008_ENGLAND,22,2,S1903M,ENGLAND,ITALY,SPA,F SPA/SC S A BRE - POR,F SPA/SC - LYO,28,260,ffe565bde71b2bb06bd3d4b713ad896cbdc6407f094be01e89d45fd73d5b54ab,eb56c2636f45da0a283d23ff3d91562d1940f2c21296700bef3c6b422b096a97,d8fd8d2102a8217b52e99ac67da33acd5064eb760a1b5ba5f36b6b180976c59a
cicero_g023_p009_ITALY,23,3,F1903M,ITALY,FRANCE,APU,A APU - NAP,A APU S A PIE - VEN,7,160,98197d2f52dda11b949184934cf5e01b9d244a3a0d26f5e702657b55c78523d2,43754a141b71c64ed8568cb33ab924b1abe7e6bbd206406daf4f075fbb930a45,b7f40acb82815b913212ac08028eaae5376ba5e488f98356ffa627edbdf7c9db
cicero_g024_p005_FRANCE,24,4,F1902M,FRANCE,AUSTRIA,SPA,F SPA/SC S A BUR - MAR,F SPA/SC - LYO,8,120,934e96f51bfa25443cdbb866e30c799aaef5568ed9feb6160400e97da8c23b59,07db6596a7151608e84ebba93e12c0e972bf72090c817965af3f7ead17c953be,3c9d58f18af7cc7f3bc0d7f28262caba66878fd075f6aa0af63b562cbdf08f57
cicero_g025_p001_ENGLAND,25,0,F1901M,ENGLAND,ITALY,NTH,F NTH - EDI,F NTH S A KIE - DEN,7,120,5c7a9293ad9324874202990603eb0d483fc3126e0c697871bcdc65c1fa6799b4,d4d6ab3755787b49ab7b4f25a4d9bed2df6a3fbac88b6a06564b3f08cf18a473,16d01e06e3eaa14276438c2acba432f2ddee3bcfe7842c6fb5f1472a11b6b4cc
cicero_g026_p003_GERMANY,26,1,S1902M,GERMANY,ENGLAND,DEN,F DEN S F BOT - SWE,F DEN - BAL,9,180,4324853ff3bc84e605c872afb7c9a84ab8739f6583796029c740d05dc63b0ca7,ff5f76c1b135ed25bd090560f9a7246aeee5858db4053a96e59d0b87dfc6f416,d4c5701fffb6b818cc59ae6ac1613d66755e1f99658d2fbca2e7d6dfa56fe5f7
cicero_g027_p003_AUSTRIA,27,2,S1902M,AUSTRIA,RUSSIA,BUD,A BUD - TRI,A BUD S A GAL - RUM,18,280,197ecbfec37425b8bb7964d31c8a03f97dd1c619a2e5f8abb2596e1594f30fcd,1e88d6d12f15c47afb7691f32e377c3a1402c3cdeef58b13ae730b2c8cd97066,6415cd0bca22d87d41e0bc9f66e65820cac4794bb0e42339344573578c31db28
cicero_g028_p003_GERMANY,28,3,S1902M,GERMANY,TURKEY,BER,A BER - MUN,A BER S F DEN - KIE,11,140,55150eaa7ddcbd6153b4bc67fd3a9595825dacd442b81604819358eaf33d7c4f,c7690f00aecb61a782c55d32da4b102847e5729f4bfddc2ed2c16be162c0169a,41d7c1cca8bbe31d97352fd69ad63b3014752e4813ee2a06557a92613461b3d2
cicero_g029_p018_RUSSIA,29,4,S1905M,RUSSIA,ITALY,STP,F STP/NC - BAR,F STP/NC S A HOL - NWY,25,120,94b8e3897943700e2215b173c9de9ad418965d54fb383ab108746925ded417d7,5382963f3447c721dfd01afa384fd0121b9cdf280a28464bc62acf75d1c0f13c,b4bbc75650a24c35dc9f9cfe55770cb9e07c56e5ce350927392901ae23fcc74e
cicero_g030_p001_RUSSIA,30,0,F1901M,RUSSIA,GERMANY,BOT,F BOT - BAL,F BOT S F DEN - SWE,51,320,0143eb6dae0273de2eb5fe99cd0b09e2650446ae204dd96dc4a9729832346027,086ba54eb430cdde81e4b11c97e3e9e9f347570fb8b8bcf726f952200cd101bf,f9414dc8b139fcfb69350cbc11767c37190baca0ae94d41d49cb4ebc75d9ce1e
cicero_g031_p012_FRANCE,31,1,S1904M,FRANCE,RUSSIA,MAO,F MAO - BRE,F MAO S F NTH - ENG,5,140,dc49ff078a2fdae6dca5c3d24e73acc80b04ea2d0f6c80a22264741e7a34cf1c,9d4540b9c36d8e0bb13c7ac43ae981b374f8cd3ede85a487f84cb620f55ba9c9,8944d2b91b8f3d36dc5b42384394598484fde39fc4bae67fd391e580c4480934
cicero_g032_p003_AUSTRIA,32,2,S1902M,AUSTRIA,RUSSIA,BUD,A BUD S A GAL - RUM,A BUD - TRI,13,220,d5bac7a8291d2b444029279c15eebacaa7db6e9d689df9584c38596af7aeb4df,489ef8538d273454b20e1dd340007fc23b31bf879ebc85a81c913ffb5630a8c2,3a9f4ee1b12e3d2362459a4555eaa73eec1dbf48a97f90038cdd59f99279d09f
cicero_g033_p009_AUSTRIA,33,3,F1903M,AUSTRIA,RUSSIA,BUL,A BUL - ANK VIA,A BUL S A GAL - RUM,13,220,f9bd837282ad276e348c4e838d42994045a9d5ddc6ec3b938f1b1a8470e8ef94,75ba43b233f147d5d35757c3312732741292f9e5551f0dd204e822bddcf5caff,82b8f8bc5eaea7fa0982436c68b198b950cbfcc127b4a213ac7d6184f995760a
cicero_g034_p004_ENGLAND,34,4,S1902M,ENGLAND,GERMANY,LON,F LON - WAL,F LON S F DEN - NTH,16,220,b95d9feab079779895c3163443961a591e32f792d1c41dffcfe05bd448c43168,8704a5962a3b343f61a1c6e682e59b1ec3bec8492d3bdc72d364cc4cffcadf13,932f3e76a99a72c2fc573e70ee12cc542cf4b406a3de18d92e247a301cf32e40
cicero_g035_p003_ITALY,35,0,S1902M,ITALY,RUSSIA,ION,F ION S A TRI - ALB,F ION - ADR,19,280,10908a31042e8f1bfe068d8b7aa65359c09b702840521cd56061fc6e3c30a37a,d2fefa79f889b6404211c94a082e276371166fc305ff7949209a24678dd1ddbf,d45372f18dbb18d7e2897bf1803f6a5915e3eef3d064dfcdd50b6980049083b9
cicero_g036_p001_ENGLAND,36,1,F1901M,ENGLAND,GERMANY,NTH,F NTH - EDI,F NTH S F DEN - SKA,9,220,641aeb393e64ece80a9f07e75760a6f91d6a5746f24e578aa1ee3f1b01f0dca3,df151ff1b6f0683ae2653f0b440305eac57d4d49156be0138732de2a229fe843,19fdea9464d172e566d88e45e0d155c9c8f6e88a4ffc582b8424bddfeec7bcb9
cicero_g037_p009_ITALY,37,2,F1903M,ITALY,ENGLAND,VEN,A VEN S A SER - TRI,A VEN - APU,24,300,f59e4e63d9c52f7399fe75d61c77529496164c0aeb38509f9889ccfd2eede3c5,ea17fa086838dade64dd3eb268bfb6479076f30883d80d2d61787d9265c9a538,b74bf8e46a3bf913717aca3fc9e0fafe4fb354e11a03c3324b0356a32ac8b5bb
cicero_g038_p001_TURKEY,38,3,F1901M,TURKEY,AUSTRIA,BUL,A BUL S A GAL - RUM,A BUL - CON,14,200,c913afff8497a606b8e9fa40069889f4a441e5544524ddc97b6bc665c1e70fef,504351be4d102512be700e9dde3265a93a5956a8336965b3b77136c7bf627bba,ebff43848d3b970fb84a16fde83125cdf4b999477f6cbc7c01bc5d32a628334e
cicero_g039_p001_ENGLAND,39,4,F1901M,ENGLAND,RUSSIA,EDI,A EDI - BEL VIA,A EDI S F NTH - YOR,23,180,bd6fac38add73cba5ee04b62d7ad9969ae72a2bf39ec3a31de81bdba0b0cc921,69bb1d291e76db2957f2ebe1a99c2c904b07260a2d880c3cd7e13de9ada096f4,3fee403bc4f08b33885fff0a0785b327ddfc21add493b48305d314885a21a038
